MeSH Code	MeSH Name	ICD10 Code	ICD10 Name
D000006	Abdomen, Acute	R10.0	Acute abdomen
D000013	Congenital Abnormalities	Q89.9	Congenital malformation, unspecified
D000022	Abortion, Spontaneous	O03	Spontaneous abortion
D000026	Abortion, Habitual	N96	Habitual aborter
D000030	Abortion, Missed	O02.1	Missed abortion
D000033	Abortion, Threatened	O20.0	Threatened abortion
D000037	Abruptio Placentae	O45	Premature separation of placenta [abruptio placentae]
D000037	Abruptio Placentae	O45.9	Premature separation of placenta, unspecified
D000052	Acanthosis Nigricans	L83	Acanthosis nigricans
C579878	Achondrogenesis	Q77.0	Achondrogenesis
D000130	Achondroplasia	Q77.4	Achondroplasia
D000138	Acidosis	E87.2	Acidosis
D000152	Acne Vulgaris	L70.0	Acne vulgaris
D000153	Acne Keloid	L73.0	Acne keloid
D000160	Vestibulocochlear Nerve Diseases	H93.3	Disorders of acoustic nerve
D000182	ACTH Syndrome, Ectopic	E24.3	Ectopic ACTH syndrome
D000196	Actinomycosis	A42	Actinomycosis
D000196	Actinomycosis	A42.9	Actinomycosis, unspecified
D000197	Actinomycosis, Cervicofacial	A42.2	Cervicofacial actinomycosis
D000224	Addison Disease	E27.1	Primary adrenocortical insufficiency
D000257	Adenoviridae Infections	B34.0	Adenovirus infection, unspecified
D000275	Adjustment Disorders	F43.2	Adjustment disorders
D000307	Adrenal Gland Diseases	E27.9	Disorder of adrenal gland, unspecified
D000377	Agnosia	R48.1	Agnosia
D000379	Agoraphobia	F40.0	Agoraphobia
D000380	Agranulocytosis	D70	Agranulocytosis
D015526	AIDS Dementia Complex	F02.4	Dementia in human immunodeficiency virus [HIV] disease
D000387	Ainhum	L94.6	Ainhum
D000417	Albinism	E70.3	Albinism
D000425	Alcohol Amnestic Disorder	F10.6	Mental and behavioural disorders due to use of alcohol, amnesic syndrome
D000428	Alcohol Drinking	Z72.1	Alcohol use
D000430	Alcohol Withdrawal Delirium	F10.4	Mental and behavioural disorders due to use of alcohol, withdrawal state with delirium
D000437	Alcoholism	F10.2	Mental and behavioural disorders due to use of alcohol, dependence syndrome
D000471	Alkalosis	E87.3	Alkalosis
D000506	Alopecia Areata	L63	Alopecia areata
D000506	Alopecia Areata	L63.9	Alopecia areata, unspecified
D000507	Mucinosis, Follicular	L65.2	Alopecia mucinosa
D017085	alpha-Thalassemia	D56.0	Alpha thalassaemia
D000544	Alzheimer Disease	G30	Alzheimer's disease
D000544	Alzheimer Disease	G30.9	Alzheimer's disease, unspecified
D000562	Amebiasis	A06	Amoebiasis
D000562	Amebiasis	A06.9	Amoebiasis, unspecified
D000568	Amenorrhea	N91.2	Amenorrhoea, unspecified
D000592	Amino Acid Metabolism, Inborn Errors	E72.9	Disorder of amino-acid metabolism, unspecified
D000648	Amnesia, Retrograde	R41.2	Retrograde amnesia
D000686	Amyloidosis	E85	Amyloidosis
D000686	Amyloidosis	E85.9	Amyloidosis, unspecified
D000724	Ancylostomiasis	B76.0	Ancylostomiasis
D000740	Anemia	D64.9	Anaemia, unspecified
D000741	Anemia, Aplastic	D61.9	Aplastic anaemia, unspecified
D000742	Anemia, Dyserythropoietic, Congenital	D64.4	Congenital dyserythropoietic anaemia
D000743	Anemia, Hemolytic	D55-D59.9	Haemolytic anaemias
D000745	Anemia, Hemolytic, Congenital	D58.9	Hereditary haemolytic anaemia, unspecified
D000754	Anemia, Refractory, with Excess of Blasts	D46.2	Refractory anaemia with excess of blasts
D000755	Anemia, Sickle Cell	D57	Sickle-cell disorders
D000757	Anencephaly	Q00.0	Anencephaly
D000783	Aneurysm	I72.9	Aneurysm of unspecified site
D000787	Angina Pectoris	I20	Angina pectoris
D000787	Angina Pectoris	I20.9	Angina pectoris, unspecified
D000789	Angina, Unstable	I20.0	Unstable angina
D000799	Angioedema	T78.3	Angioneurotic oedema
D015783	Aniridia	Q13.1	Absence of iris
D000844	Ankylosis	M24.6	Ankylosis of joint
D000855	Anorexia	R63.0	Anorexia
D000856	Anorexia Nervosa	F50.0	Anorexia nervosa
D055008	Anthracosis	J60	Coalworker's pneumoconiosis
D000881	Anthrax	A22	Anthrax
D000881	Anthrax	A22.9	Anthrax, unspecified
C531621	Cutaneous anthrax	A22.0	Cutaneous anthrax
D000987	Antisocial Personality Disorder	F60.2	Dissocial personality disorder
D001008	Anxiety Disorders	F41.9	Anxiety disorder, unspecified
D001017	Aortic Coarctation	Q25.1	Coarctation of aorta
D001022	Aortic Valve Insufficiency	I35.1	Aortic (valve) insufficiency
D001024	Aortic Valve Stenosis	I35.0	Aortic (valve) stenosis
D001024	Aortic Valve Stenosis	Q25.3	Stenosis of aorta
D001028	Aortopulmonary Septal Defect	Q21.4	Aortopulmonary septal defect
D001035	Aphakia	H27.0	Aphakia
D001044	Aphonia	R49.1	Aphonia
D001064	Appendicitis	K37	Unspecified appendicitis
D001072	Apraxias	R48.2	Apraxia
D001139	Arnold-Chiari Malformation	Q07.0	Arnold-Chiari syndrome
D001145	Arrhythmias, Cardiac	I49.9	Cardiac arrhythmia, unspecified
D001167	Arteritis	I77.6	Arteritis, unspecified
D018771	Arthralgia	M25.5	Pain in joint
D001168	Arthritis	M13.9	Arthritis, unspecified
D001170	Arthritis, Infectious	M00	Pyogenic arthritis
D001170	Arthritis, Infectious	M00.9	Pyogenic arthritis, unspecified
D015535	Arthritis, Psoriatic	L40.5	Arthropathic psoriasis
D001172	Arthritis, Rheumatoid	M06.9	Rheumatoid arthritis, unspecified
D001176	Arthrogryposis	Q74.3	Arthrogryposis multiplex congenita
D001177	Arthropathy, Neurogenic	M14.6	Neuropathic arthropathy
D001196	Ascariasis	B77	Ascariasis
D001196	Ascariasis	B77.9	Ascariasis, unspecified
D001201	Ascites	R18	Ascites
D001206	Ascorbic Acid Deficiency	E54	Ascorbic acid deficiency
D001228	Aspergillosis	B44	Aspergillosis
D001228	Aspergillosis	B44.9	Aspergillosis, unspecified
D001237	Asphyxia	R09.0	Asphyxia
D001237	Asphyxia	T71	Asphyxiation
D001238	Asphyxia Neonatorum	P21	Birth asphyxia
D001238	Asphyxia Neonatorum	P21.9	Birth asphyxia, unspecified
D063466	Respiratory Aspiration of Gastric Contents	W78	Inhalation of gastric contents as an external cause of morbidity and mortality
D001249	Asthma	J45	Asthma
D001249	Asthma	J45.9	Asthma, unspecified
D001251	Astigmatism	H52.2	Astigmatism
D001259	Ataxia	R27.0	Ataxia, unspecified
D001261	Pulmonary Atelectasis	J98.1	Pulmonary collapse
D050197	Atherosclerosis	I70	Atherosclerosis
D050197	Atherosclerosis	I25.0	Atherosclerotic cardiovascular disease, so described
D001321	Autistic Disorder	F84.0	Childhood autism
D001404	Babesiosis	B60.0	Babesiosis
D001416	Back Pain	M54	Dorsalgia
D001416	Back Pain	M54.9	Dorsalgia, unspecified
D001424	Bacterial Infections	A49.9	Bacterial infection, unspecified
D001424	Bacterial Infections	A49	Bacterial infection of unspecified site
D018410	Pneumonia, Bacterial	J15.9	Bacterial pneumonia, unspecified
D001447	Balantidiasis	A07.0	Balantidiasis
D001449	Balkan Nephropathy	N15.0	Balkan nephropathy
D001474	Bartonella Infections	A44	Bartonellosis
D001474	Bartonella Infections	A44.9	Bartonellosis, unspecified
D001523	Mental Disorders	F99-F99.9	Unspecified mental disorder
D001523	Mental Disorders	F99	Mental disorder, not otherwise specified
D001528	Behcet Syndrome	M35.2	Behcet's disease
D001602	Beriberi	E51.1	Beriberi
D001607	Berylliosis	J63.2	Berylliosis
D017086	beta-Thalassemia	D56.1	Beta thalassaemia
D001656	Biliary Atresia	Q44.2	Atresia of bile ducts
D001658	Biliary Fistula	K83.3	Fistula of bile duct
D001660	Biliary Tract Diseases	K83.9	Disease of biliary tract, unspecified
D001714	Bipolar Disorder	F31	Bipolar affective disorder
D001714	Bipolar Disorder	F31.9	Bipolar affective disorder, unspecified
D001716	Bird Fancier's Lung	J67.2	Bird fancier's lung
D001720	Birth Injuries	P10-P15.9	Birth trauma
D001720	Birth Injuries	P15.9	Birth injury, unspecified
D001744	Urinary Bladder Calculi	N21.0	Calculus in bladder
D001745	Urinary Bladder Diseases	N32.9	Bladder disorder, unspecified
D001746	Bladder Exstrophy	Q64.1	Exstrophy of urinary bladder
D001748	Urinary Bladder Neck Obstruction	N32.0	Bladder-neck obstruction
D001759	Blastomycosis	B40	Blastomycosis
D001759	Blastomycosis	B40.9	Blastomycosis, unspecified
D001762	Blepharitis	H01.0	Blepharitis
D001762	Blepharitis	H01.9	Inflammation of eyelid, unspecified
D001763	Blepharoptosis	H02.4	Ptosis of eyelid
D001764	Blepharospasm	G24.5	Blepharospasm
D001778	Blood Coagulation Disorders	D68.9	Coagulation defect, unspecified
D001845	Bone Cysts	M85.4	Solitary bone cyst
D001847	Bone Diseases	M89.9	Disorder of bone, unspecified
D001906	Botulism	A05.1	Botulism
D001907	Boutonneuse Fever	A77.1	Spotted fever due to Rickettsia conorii
D001924	Brain Concussion	S06.0	Concussion
D001927	Brain Diseases	G93.9	Disorder of brain, unspecified
D001941	Breast Diseases	N60-N64.9	Disorders of breast
D001941	Breast Diseases	N64.9	Disorder of breast, unspecified
D001987	Bronchiectasis	J47	Bronchiectasis
D001991	Bronchitis	J40	Bronchitis, not specified as acute or chronic
D001996	Bronchopneumonia	J18.0	Bronchopneumonia, unspecified
D001998	Bronchopulmonary Sequestration	Q33.2	Sequestration of lung
D002006	Brucellosis	A23	Brucellosis
D002006	Brucellosis	A23.9	Brucellosis, unspecified
D002051	Burkitt Lymphoma	C83.7	Burkitt's tumour
D002095	Byssinosis	J66.0	Byssinosis
D002100	Cachexia	R64	Cachexia
D002128	Calcium Metabolism Disorders	E83.5	Disorders of calcium metabolism
D002177	Candidiasis	B37	Candidiasis
D002177	Candidiasis	B37.9	Candidiasis, unspecified
D002180	Candidiasis, Oral	B37.0	Candidal stomatitis
D002278	Carcinoma in Situ	D09.9	Carcinoma in situ, unspecified
D002285	Carcinoma, Intraductal, Noninfiltrating	D05.1	Intraductal carcinoma in situ
D002310	Cardiomyopathy, Alcoholic	I42.6	Alcoholic cardiomyopathy
D002311	Cardiomyopathy, Dilated	I42.0	Dilated cardiomyopathy
D002312	Cardiomyopathy, Hypertrophic	I42.1	Obstructive hypertrophic cardiomyopathy
